id,product_id,product_name,price,quantity,flavors,category,size,calories,ingredients,availability,rating
26,COF0026,Cappuccino,282.91,174,None,Iced,Large,222,"Chocolate, Spices",FALSE,1.8
27,COF0027,Frappuccino,472.8,139,Vanilla,Blended,Medium,468,"Coffee Beans, Milk",FALSE,4.7
28,COF0028,Americano,445.25,137,Cardamom,Iced,Small,231,"Sugar, Ice, Milk",TRUE,1.8
29,COF0029,Iced Latte,328.61,133,Cinnamon,Blended,Medium,248,"Milk, Cream",FALSE,3.4
30,COF0030,Iced Latte,252.03,191,Mint,Hot,Medium,312,"Spices, Sugar, Cream, Milk, Ice",FALSE,2.9
31,COF0031,Macchiato,147.34,111,Cinnamon,Hot,Small,482,"Cream, Chocolate, Coffee Beans, Milk",TRUE,2.8
32,COF0032,Espresso,133.4,114,None,Cold,Small,231,"Cream, Spices, Chocolate, Ice",FALSE,4.9
33,COF0033,Iced Latte,291.38,152,Caramel,Hot,Medium,288,"Ice, Spices, Sugar, Cream, Coffee Beans",FALSE,2.6
34,COF0034,Masala Chai,365.21,58,Vanilla,Blended,Small,320,"Ice, Tea Leaves",FALSE,1.5
35,COF0035,Cappuccino,313.51,93,Vanilla,Blended,Medium,328,"Cream, Tea Leaves",TRUE,4.7
36,COF0036,Masala Chai,146.51,158,Cardamom,Hot,Medium,303,"Milk, Ice",TRUE,1.9
37,COF0037,Iced Latte,334.28,197,None,Hot,Small,149,"Ice, Tea Leaves",TRUE,2.9
38,COF0038,Frappuccino,412.8,134,Chocolate,Blended,Large,413,"Coffee Beans, Milk, Spices",TRUE,2
39,COF0039,Macchiato,233.11,67,Cardamom,Cold,Medium,209,"Ice, Tea Leaves",TRUE,3
40,COF0040,Espresso,334.86,62,Chocolate,Blended,Medium,278,"Spices, Cream, Milk, Tea Leaves",FALSE,2
41,COF0041,Cappuccino,481.4,37,Vanilla,Cold,Medium,380,"Coffee Beans, Tea Leaves",TRUE,2.1
42,COF0042,Choco Frappe,476.42,74,Vanilla,Iced,Large,493,"Ice, Tea Leaves",TRUE,4.3
43,COF0043,Latte,431.32,28,Caramel,Cold,Small,364,"Milk, Ice, Coffee Beans, Spices",TRUE,4.3
44,COF0044,Espresso,223.9,88,Caramel,Hot,Medium,306,"Chocolate, Cream, Ice, Spices",FALSE,3.2
45,COF0045,Choco Frappe,435.56,178,Hazelnut,Iced,Small,443,"Ice, Cream, Coffee Beans, Spices, Sugar",FALSE,2.4
46,COF0046,Frappuccino,332.42,83,None,Cold,Large,263,"Tea Leaves, Chocolate, Ice",TRUE,4.2
47,COF0047,Masala Chai,270.48,73,Vanilla,Hot,Small,364,"Milk, Chocolate",FALSE,2.7
48,COF0048,Espresso,478.93,128,None,Hot,Small,441,"Chocolate, Ice, Cream, Milk",FALSE,3.5
49,COF0049,Espresso,366.77,110,Mint,Iced,Small,441,"Sugar, Coffee Beans, Cream, Tea Leaves",FALSE,3.4
50,COF0050,Masala Chai,384.14,29,Mint,Blended,Medium,102,"Milk, Coffee Beans",FALSE,1.1
51,COF0051,Mocha,323.43,187,Caramel,Iced,Large,409,"Ice, Milk, Spices, Cream",FALSE,2.5
52,COF0052,Mocha,252.25,111,None,Hot,Medium,407,"Milk, Ice, Cream",FALSE,3.2
53,COF0053,Frappuccino,322.84,40,None,Blended,Medium,403,"Milk, Cream, Spices",FALSE,3.1
54,COF0054,Macchiato,274.9,70,Cardamom,Blended,Small,318,"Ice, Coffee Beans, Sugar, Spices, Cream",TRUE,2.4
55,COF0055,Iced Latte,399.33,113,Cinnamon,Blended,Large,136,"Ice, Spices",TRUE,3.3
56,COF0056,Macchiato,326.37,146,Cardamom,Blended,Large,169,"Coffee Beans, Cream, Tea Leaves",FALSE,2.5
57,COF0057,Iced Latte,236.94,48,Cardamom,Iced,Medium,304,"Sugar, Tea Leaves, Spices, Milk, Ice",FALSE,2.4
58,COF0058,Choco Frappe,397.66,111,Hazelnut,Iced,Large,317,"Tea Leaves, Sugar, Chocolate, Ice, Spices",TRUE,4.9
59,COF0059,Masala Chai,317.6,114,None,Blended,Small,212,"Sugar, Ice",TRUE,1.3
60,COF0060,Masala Chai,157.65,75,Cinnamon,Hot,Large,443,"Sugar, Tea Leaves, Ice, Coffee Beans",FALSE,4
61,COF0061,Macchiato,104.73,176,Caramel,Cold,Small,123,"Spices, Chocolate",TRUE,4.6
62,COF0062,Espresso,385.37,166,Mint,Iced,Large,375,"Spices, Coffee Beans, Milk, Cream, Sugar",TRUE,5
63,COF0063,Macchiato,484.58,70,Cinnamon,Hot,Large,472,"Chocolate, Milk, Tea Leaves, Cream, Coffee Beans",FALSE,2.6
64,COF0064,Cappuccino,133.69,68,Hazelnut,Cold,Medium,196,"Coffee Beans, Chocolate, Ice, Tea Leaves, Milk",TRUE,2.3
65,COF0065,Espresso,102.73,130,Cinnamon,Hot,Medium,423,"Milk, Sugar",TRUE,4.1
66,COF0066,Masala Chai,263.61,156,Mint,Cold,Medium,373,"Spices, Cream, Chocolate, Milk, Ice",FALSE,3.8
67,COF0067,Frappuccino,104.11,80,Vanilla,Blended,Large,331,"Tea Leaves, Milk, Sugar",TRUE,2.4
68,COF0068,Americano,210.99,53,Cardamom,Cold,Small,272,"Tea Leaves, Cream, Milk",TRUE,1.2
69,COF0069,Masala Chai,422.96,165,Caramel,Hot,Medium,226,"Ice, Coffee Beans, Spices",FALSE,2.3
70,COF0070,Choco Frappe,100.68,21,None,Blended,Small,382,"Ice, Spices, Cream, Tea Leaves",FALSE,4.8
71,COF0071,Mocha,228.41,145,Cardamom,Cold,Small,149,"Spices, Ice, Coffee Beans",FALSE,2.8
72,COF0072,Cappuccino,181.94,43,Cinnamon,Hot,Large,231,"Milk, Ice, Sugar",FALSE,2.6
73,COF0073,Frappuccino,453.54,137,Cardamom,Blended,Large,321,"Tea Leaves, Spices, Coffee Beans, Cream, Milk",FALSE,3.7
74,COF0074,Masala Chai,143.43,118,Vanilla,Iced,Large,414,"Tea Leaves, Ice, Coffee Beans",TRUE,2.4
75,COF0075,Iced Latte,74.33,96,Caramel,Hot,Medium,244,"Spices, Sugar, Milk",FALSE,2.6
76,COF0076,Macchiato,259.35,174,Caramel,Hot,Large,310,"Tea Leaves, Milk, Spices, Cream, Chocolate",TRUE,4
77,COF0077,Cappuccino,328.06,123,Cardamom,Hot,Small,135,"Milk, Sugar, Cream",TRUE,1.1
78,COF0078,Frappuccino,329.41,65,Cardamom,Cold,Small,295,"Chocolate, Cream, Ice, Sugar, Coffee Beans",FALSE,4.8
79,COF0079,Choco Frappe,251.72,106,Cinnamon,Cold,Large,286,"Cream, Ice",TRUE,2.4
80,COF0080,Macchiato,465.42,55,Cinnamon,Blended,Medium,226,"Chocolate, Spices",TRUE,1.9
81,COF0081,Frappuccino,393.16,139,Mint,Cold,Medium,385,"Tea Leaves, Ice, Chocolate, Milk, Spices",TRUE,1.9
82,COF0082,Mocha,253.22,113,Cinnamon,Hot,Large,281,"Coffee Beans, Tea Leaves, Ice, Sugar",TRUE,3.4
83,COF0083,Espresso,383.3,97,Hazelnut,Blended,Small,142,"Milk, Coffee Beans",TRUE,2.1
84,COF0084,Macchiato,130.01,79,Vanilla,Blended,Large,304,"Cream, Coffee Beans, Spices",TRUE,3.8
85,COF0085,Frappuccino,375.72,121,None,Blended,Small,362,"Spices, Chocolate, Ice",TRUE,1.7
86,COF0086,Americano,471.5,121,Mint,Hot,Small,383,"Tea Leaves, Sugar",TRUE,2.6
87,COF0087,Macchiato,237.07,113,Cardamom,Cold,Medium,493,"Spices, Coffee Beans, Cream, Chocolate, Milk",FALSE,2.4
88,COF0088,Macchiato,475.67,136,Mint,Blended,Medium,210,"Spices, Coffee Beans, Tea Leaves, Chocolate, Milk",TRUE,1.2
89,COF0089,Mocha,384.52,69,Cinnamon,Cold,Small,190,"Chocolate, Tea Leaves, Cream, Spices, Milk",TRUE,4.1
90,COF0090,Americano,475.43,170,Mint,Cold,Small,391,"Chocolate, Tea Leaves, Milk, Cream, Sugar",FALSE,2
91,COF0091,Cappuccino,484.74,35,Hazelnut,Hot,Large,288,"Ice, Spices, Tea Leaves, Coffee Beans",TRUE,4.2
92,COF0092,Iced Latte,414.97,29,Mint,Cold,Medium,441,"Chocolate, Spices, Ice, Cream",FALSE,1.8
93,COF0093,Macchiato,174.92,58,Hazelnut,Iced,Small,215,"Sugar, Tea Leaves",TRUE,3.3
94,COF0094,Mocha,289.75,185,Chocolate,Cold,Medium,223,"Sugar, Cream",TRUE,3.8
95,COF0095,Macchiato,359.81,163,Cardamom,Cold,Medium,141,"Milk, Tea Leaves, Cream, Chocolate, Ice",TRUE,3.3
96,COF0096,Espresso,395.2,42,Hazelnut,Cold,Small,435,"Coffee Beans, Cream",TRUE,4.7
97,COF0097,Americano,240.79,63,Vanilla,Hot,Large,437,"Sugar, Ice, Coffee Beans, Tea Leaves",TRUE,4.5
98,COF0098,Cappuccino,186.1,112,Chocolate,Hot,Medium,276,"Sugar, Cream, Chocolate, Ice",TRUE,2.2
99,COF0099,Masala Chai,219.66,67,Mint,Iced,Large,287,"Cream, Sugar, Tea Leaves",TRUE,4.2
100,COF0100,Americano,103.77,151,Mint,Blended,Medium,341,"Coffee Beans, Milk",FALSE,4
101,COF0101,Iced Latte,139.63,168,Caramel,Iced,Small,197,"Milk, Cream, Ice",FALSE,4.6
102,COF0102,Frappuccino,130.86,160,Hazelnut,Iced,Small,207,"Coffee Beans, Tea Leaves, Cream, Ice",FALSE,4.7
103,COF0103,Macchiato,203.66,144,Cardamom,Blended,Medium,148,"Milk, Cream",FALSE,3.4
104,COF0104,Espresso,419.58,119,Cinnamon,Cold,Small,430,"Ice, Sugar, Spices",FALSE,4.3
105,COF0105,Choco Frappe,248.19,151,Chocolate,Iced,Large,438,"Chocolate, Cream",TRUE,4.4
106,COF0106,Masala Chai,278.44,50,Cardamom,Hot,Medium,260,"Cream, Sugar, Coffee Beans",TRUE,3.8
107,COF0107,Macchiato,71.7,38,Cardamom,Iced,Small,419,"Chocolate, Cream, Coffee Beans, Sugar",TRUE,4.5
108,COF0108,Latte,137.29,89,Mint,Hot,Small,326,"Coffee Beans, Spices, Milk, Cream",FALSE,3.5
109,COF0109,Cappuccino,403.03,32,Hazelnut,Cold,Large,387,"Tea Leaves, Coffee Beans, Cream",TRUE,2.5
110,COF0110,Mocha,306.84,145,Hazelnut,Cold,Medium,159,"Tea Leaves, Sugar, Spices, Coffee Beans, Chocolate",FALSE,1.4
111,COF0111,Espresso,455.68,99,Hazelnut,Iced,Medium,173,"Coffee Beans, Milk, Tea Leaves, Ice",FALSE,1.3
112,COF0112,Choco Frappe,244.36,61,Hazelnut,Iced,Small,203,"Spices, Cream, Chocolate, Milk",TRUE,2
113,COF0113,Americano,237.44,71,Mint,Cold,Large,433,"Coffee Beans, Chocolate, Spices, Ice",TRUE,1.9
114,COF0114,Latte,176.38,23,Hazelnut,Cold,Small,289,"Cream, Coffee Beans",TRUE,2.7
115,COF0115,Macchiato,360.22,160,Hazelnut,Cold,Medium,187,"Coffee Beans, Tea Leaves",TRUE,3.6
116,COF0116,Masala Chai,457.61,155,Caramel,Hot,Medium,485,"Cream, Ice, Spices, Sugar",TRUE,2.5
117,COF0117,Cappuccino,189.2,155,Cinnamon,Blended,Small,492,"Cream, Ice, Chocolate",FALSE,3.9
118,COF0118,Cappuccino,387.22,103,Hazelnut,Iced,Medium,193,"Ice, Spices, Cream, Sugar",TRUE,2.5
119,COF0119,Masala Chai,445.6,39,Mint,Cold,Medium,373,"Chocolate, Coffee Beans",TRUE,3.7
120,COF0120,Mocha,70.28,153,Hazelnut,Cold,Small,497,"Ice, Cream, Spices",FALSE,3.6
121,COF0121,Iced Latte,268.19,90,Cardamom,Cold,Large,142,"Spices, Milk, Tea Leaves, Sugar",FALSE,2.4
122,COF0122,Cappuccino,312.54,107,None,Cold,Large,337,"Spices, Sugar, Milk, Tea Leaves, Chocolate",TRUE,4.6
123,COF0123,Americano,484.5,74,Cardamom,Iced,Large,204,"Tea Leaves, Chocolate, Ice, Coffee Beans, Spices",TRUE,4.2
124,COF0124,Cappuccino,429.18,160,Cardamom,Cold,Small,173,"Chocolate, Milk, Spices",TRUE,3
125,COF0125,Macchiato,319.71,138,Vanilla,Blended,Large,146,"Ice, Cream, Spices",TRUE,1.3
126,COF0126,Iced Latte,256.26,155,Chocolate,Blended,Large,222,"Spices, Ice",TRUE,4.4
127,COF0127,Masala Chai,157.14,143,None,Blended,Medium,486,"Tea Leaves, Coffee Beans",FALSE,4
128,COF0128,Masala Chai,438.14,112,Chocolate,Hot,Medium,415,"Tea Leaves, Spices",FALSE,2.9
129,COF0129,Macchiato,224.52,62,Vanilla,Blended,Large,296,"Cream, Coffee Beans, Ice, Sugar, Milk",TRUE,3.4
130,COF0130,Masala Chai,70.15,20,Mint,Hot,Large,319,"Tea Leaves, Ice, Chocolate",FALSE,3.5
131,COF0131,Macchiato,245.21,111,Cinnamon,Cold,Small,247,"Ice, Sugar, Spices",FALSE,4.7
132,COF0132,Latte,400.86,128,None,Hot,Large,401,"Ice, Cream, Coffee Beans",TRUE,2.2
133,COF0133,Iced Latte,89.56,67,Cardamom,Cold,Medium,100,"Chocolate, Sugar, Tea Leaves, Coffee Beans",TRUE,4.4
134,COF0134,Americano,258.75,96,None,Blended,Medium,140,"Tea Leaves, Milk, Cream, Sugar",FALSE,2.8
135,COF0135,Americano,147.32,190,Cardamom,Iced,Small,109,"Milk, Ice",FALSE,1.1
136,COF0136,Choco Frappe,215.06,75,Hazelnut,Blended,Medium,218,"Spices, Coffee Beans",TRUE,1.4
137,COF0137,Latte,338.43,132,Cinnamon,Cold,Medium,181,"Spices, Milk, Coffee Beans",TRUE,3.2
138,COF0138,Cappuccino,459.2,148,Chocolate,Hot,Large,159,"Coffee Beans, Ice, Cream",FALSE,2.7
139,COF0139,Macchiato,174.04,136,Mint,Cold,Large,476,"Ice, Sugar, Tea Leaves, Coffee Beans",TRUE,3.3
140,COF0140,Choco Frappe,167.94,162,Chocolate,Cold,Small,305,"Spices, Ice, Tea Leaves",FALSE,3.1
141,COF0141,Macchiato,489.71,122,None,Hot,Small,428,"Coffee Beans, Sugar",TRUE,1.9
142,COF0142,Frappuccino,478.92,105,Caramel,Iced,Large,302,"Coffee Beans, Chocolate, Tea Leaves, Sugar, Cream",TRUE,1.9
143,COF0143,Macchiato,127.37,199,Hazelnut,Iced,Small,302,"Chocolate, Milk, Coffee Beans",FALSE,1.6
144,COF0144,Espresso,344.75,154,Vanilla,Blended,Small,381,"Chocolate, Cream, Milk, Spices",FALSE,4.4
145,COF0145,Mocha,221.73,147,Chocolate,Cold,Medium,381,"Coffee Beans, Cream, Ice",FALSE,5
146,COF0146,Iced Latte,474.18,107,Cardamom,Iced,Large,414,"Sugar, Ice, Coffee Beans",TRUE,3.1
147,COF0147,Mocha,326.23,165,None,Cold,Medium,217,"Tea Leaves, Chocolate, Cream, Coffee Beans, Sugar",FALSE,4
148,COF0148,Espresso,104.71,72,Hazelnut,Cold,Small,411,"Sugar, Ice, Milk, Chocolate",FALSE,1.6
149,COF0149,Cappuccino,363.82,18,None,Cold,Medium,249,"Sugar, Milk",FALSE,1.9
150,COF0150,Iced Latte,256.54,65,Cinnamon,Blended,Large,173,"Spices, Ice, Sugar, Coffee Beans",TRUE,1.2
151,COF0151,Frappuccino,211.38,115,None,Blended,Large,150,"Tea Leaves, Milk, Spices",TRUE,3.9
152,COF0152,Americano,107.66,25,Mint,Iced,Large,283,"Tea Leaves, Cream",TRUE,1.4
153,COF0153,Choco Frappe,474.04,21,None,Hot,Large,257,"Chocolate, Spices",TRUE,1.2
154,COF0154,Frappuccino,442.93,122,Hazelnut,Hot,Large,152,"Ice, Coffee Beans, Milk",TRUE,1.2
155,COF0155,Cappuccino,203.2,33,None,Cold,Medium,426,"Tea Leaves, Milk, Coffee Beans, Spices",TRUE,3
156,COF0156,Americano,218.69,43,Cinnamon,Blended,Small,318,"Spices, Sugar, Tea Leaves",TRUE,2.3
157,COF0157,Mocha,329.91,23,Cardamom,Cold,Small,352,"Ice, Milk",FALSE,1.8
158,COF0158,Espresso,126.14,152,Mint,Iced,Medium,455,"Coffee Beans, Tea Leaves, Milk, Sugar, Cream",FALSE,3.7
159,COF0159,Americano,133.62,141,Cardamom,Hot,Small,460,"Ice, Milk",FALSE,4.8
160,COF0160,Latte,348.52,43,Mint,Blended,Large,284,"Ice, Sugar, Milk",FALSE,2.1
161,COF0161,Macchiato,403.34,52,Caramel,Iced,Medium,325,"Coffee Beans, Ice, Chocolate",FALSE,2.9
162,COF0162,Latte,499.76,93,Cardamom,Hot,Large,461,"Chocolate, Coffee Beans, Spices",TRUE,1.7
163,COF0163,Frappuccino,274.83,88,Hazelnut,Iced,Small,415,"Coffee Beans, Milk, Ice, Cream",FALSE,1.4
164,COF0164,Choco Frappe,111.97,31,Cardamom,Cold,Medium,270,"Coffee Beans, Milk, Cream, Spices, Sugar",FALSE,3.9
165,COF0165,Espresso,435.3,145,Caramel,Hot,Large,444,"Milk, Chocolate",TRUE,3.8
166,COF0166,Macchiato,165.13,120,Caramel,Cold,Medium,313,"Tea Leaves, Milk, Chocolate, Cream, Spices",FALSE,1.6
167,COF0167,Mocha,438.46,166,Vanilla,Iced,Large,294,"Cream, Spices, Milk, Tea Leaves, Coffee Beans",TRUE,3
168,COF0168,Mocha,455.35,106,Mint,Iced,Small,384,"Coffee Beans, Milk",FALSE,2.8
169,COF0169,Mocha,70.52,162,Caramel,Hot,Small,220,"Milk, Chocolate, Spices",TRUE,2
170,COF0170,Choco Frappe,173.63,28,Caramel,Cold,Medium,201,"Sugar, Milk, Cream",TRUE,2.6
171,COF0171,Americano,474.95,110,Cinnamon,Hot,Medium,292,"Milk, Ice, Spices, Cream, Sugar",FALSE,2.1
172,COF0172,Iced Latte,59.42,58,Chocolate,Hot,Large,236,"Milk, Coffee Beans, Chocolate",FALSE,3.8
173,COF0173,Americano,191.85,114,None,Cold,Medium,428,"Cream, Coffee Beans",TRUE,2.3
174,COF0174,Cappuccino,209.72,29,Vanilla,Iced,Medium,468,"Spices, Sugar, Chocolate, Cream, Milk",TRUE,1.3
175,COF0175,Macchiato,250.34,186,Chocolate,Iced,Medium,392,"Coffee Beans, Chocolate, Milk, Cream, Sugar",TRUE,1.4
176,COF0176,Iced Latte,360.09,109,Vanilla,Cold,Small,315,"Cream, Chocolate, Ice, Milk",FALSE,4.4
177,COF0177,Macchiato,489.15,41,Hazelnut,Cold,Large,369,"Tea Leaves, Ice",FALSE,4.8
178,COF0178,Cappuccino,482.29,179,Vanilla,Iced,Small,380,"Coffee Beans, Chocolate, Milk, Cream, Ice",FALSE,2.7
179,COF0179,Masala Chai,407.75,118,Vanilla,Iced,Medium,286,"Sugar, Coffee Beans, Tea Leaves, Chocolate",TRUE,1.2
180,COF0180,Mocha,283.4,129,Mint,Iced,Small,185,"Spices, Ice, Cream, Tea Leaves",TRUE,3.1
181,COF0181,Americano,258.22,119,Caramel,Blended,Medium,484,"Ice, Coffee Beans, Sugar",TRUE,3.2
182,COF0182,Iced Latte,160.75,173,None,Blended,Large,439,"Spices, Ice, Cream",FALSE,5
183,COF0183,Espresso,65.81,174,Cardamom,Hot,Small,213,"Chocolate, Tea Leaves, Sugar, Coffee Beans, Cream",FALSE,2.2
184,COF0184,Mocha,156.47,16,Cinnamon,Blended,Medium,113,"Milk, Cream, Tea Leaves",FALSE,4.4
185,COF0185,Latte,308.65,30,None,Hot,Small,164,"Milk, Spices, Ice",FALSE,4.3
186,COF0186,Macchiato,107.18,197,Cardamom,Iced,Large,227,"Sugar, Ice",FALSE,4
187,COF0187,Choco Frappe,105.66,127,Caramel,Blended,Large,344,"Cream, Spices, Tea Leaves, Chocolate",TRUE,4.5
188,COF0188,Macchiato,405.33,199,Cardamom,Iced,Large,446,"Spices, Sugar, Milk, Chocolate",TRUE,3.9
189,COF0189,Latte,132.58,162,Mint,Cold,Large,365,"Coffee Beans, Milk, Sugar",TRUE,3.1
190,COF0190,Frappuccino,337.13,184,Hazelnut,Hot,Small,492,"Tea Leaves, Sugar",TRUE,2.5
191,COF0191,Macchiato,418.51,94,Cardamom,Iced,Medium,179,"Chocolate, Tea Leaves",FALSE,1.6
192,COF0192,Americano,297.33,181,None,Cold,Large,490,"Tea Leaves, Ice, Milk, Sugar",TRUE,3.6
193,COF0193,Masala Chai,350.5,114,Caramel,Hot,Large,165,"Cream, Tea Leaves, Chocolate, Sugar",FALSE,2.5
194,COF0194,Macchiato,455.82,159,Mint,Hot,Small,403,"Spices, Tea Leaves, Coffee Beans, Ice, Cream",TRUE,1.7
195,COF0195,Espresso,279.81,12,Caramel,Cold,Small,478,"Cream, Tea Leaves",FALSE,3.4
196,COF0196,Masala Chai,224.09,49,Mint,Cold,Medium,168,"Sugar, Coffee Beans, Spices, Chocolate",FALSE,1.3
197,COF0197,Cappuccino,85.99,144,Hazelnut,Cold,Medium,287,"Sugar, Spices",TRUE,4.1
198,COF0198,Espresso,445.39,91,Vanilla,Cold,Small,208,"Coffee Beans, Chocolate, Tea Leaves, Milk",TRUE,1.6
199,COF0199,Masala Chai,141.28,16,Caramel,Iced,Medium,412,"Sugar, Chocolate, Ice",TRUE,3.8
200,COF0200,Espresso,284.04,52,Caramel,Iced,Medium,448,"Spices, Chocolate, Milk, Tea Leaves, Sugar",TRUE,4.1
201,COF0201,Macchiato,176.91,14,Hazelnut,Cold,Large,263,"Coffee Beans, Chocolate, Cream, Milk",TRUE,2.9
202,COF0202,Iced Latte,232.51,26,Caramel,Blended,Large,354,"Coffee Beans, Milk",TRUE,4.9
203,COF0203,Masala Chai,153.66,161,Hazelnut,Blended,Medium,148,"Cream, Coffee Beans, Chocolate",TRUE,1.9
204,COF0204,Iced Latte,182.68,50,Vanilla,Cold,Medium,217,"Spices, Coffee Beans, Tea Leaves, Ice",FALSE,4.8
205,COF0205,Choco Frappe,187.06,64,Chocolate,Cold,Medium,306,"Chocolate, Ice, Spices",FALSE,2.6
206,COF0206,Masala Chai,209.7,93,Hazelnut,Cold,Small,451,"Milk, Chocolate, Tea Leaves, Coffee Beans",FALSE,2.5
207,COF0207,Latte,304.1,135,Cardamom,Hot,Small,237,"Ice, Milk, Coffee Beans",FALSE,4.9
208,COF0208,Masala Chai,98.76,148,Caramel,Hot,Small,292,"Spices, Tea Leaves, Cream, Ice, Milk",FALSE,2.6
209,COF0209,Choco Frappe,236.06,119,Chocolate,Cold,Large,421,"Tea Leaves, Sugar",FALSE,2.3
210,COF0210,Macchiato,406.25,32,Cinnamon,Iced,Large,413,"Tea Leaves, Milk, Spices, Sugar, Ice",FALSE,2
211,COF0211,Frappuccino,304.15,66,Cinnamon,Blended,Large,381,"Coffee Beans, Ice",TRUE,1.3
212,COF0212,Macchiato,266.15,77,Vanilla,Iced,Small,122,"Milk, Coffee Beans, Ice",FALSE,1.8
213,COF0213,Espresso,277.69,82,Cardamom,Cold,Medium,265,"Ice, Spices",FALSE,4
214,COF0214,Americano,119.21,14,Hazelnut,Cold,Medium,294,"Milk, Sugar",FALSE,3.3
215,COF0215,Iced Latte,245.3,177,None,Iced,Small,344,"Spices, Ice, Chocolate, Coffee Beans",TRUE,4.9
216,COF0216,Latte,95.51,66,Vanilla,Hot,Large,329,"Chocolate, Ice, Spices, Coffee Beans, Tea Leaves",FALSE,4.6
217,COF0217,Espresso,140.9,17,Cinnamon,Cold,Small,338,"Spices, Coffee Beans, Milk, Chocolate",TRUE,4.2
218,COF0218,Macchiato,286.69,121,Chocolate,Hot,Large,351,"Coffee Beans, Sugar",TRUE,2.6
219,COF0219,Frappuccino,260.59,36,Cinnamon,Hot,Large,477,"Milk, Cream, Sugar, Ice, Tea Leaves",TRUE,3.3
220,COF0220,Mocha,372.6,100,Vanilla,Blended,Medium,150,"Tea Leaves, Coffee Beans, Ice, Chocolate",FALSE,3.9
221,COF0221,Espresso,459.15,195,None,Blended,Large,343,"Spices, Coffee Beans, Sugar",FALSE,1.5
222,COF0222,Espresso,273.15,137,Chocolate,Cold,Large,220,"Spices, Coffee Beans, Tea Leaves, Milk",TRUE,4.1
223,COF0223,Iced Latte,161.73,175,None,Hot,Medium,126,"Ice, Cream, Spices, Chocolate",FALSE,1.1
224,COF0224,Choco Frappe,484.62,34,Chocolate,Iced,Medium,179,"Ice, Tea Leaves, Chocolate, Spices",TRUE,3.9
225,COF0225,Macchiato,194.71,133,Chocolate,Blended,Large,364,"Sugar, Ice, Cream",FALSE,3.1
